point;polygon
(-123.15672247975314, 49.234864011154144);((-123.156634454883, 49.23468402129996), (-123.15663445516742, 49.234684111252115), (-123.15662195627883, 49.23504082598489), (-123.15662195656324, 49.23504091593704), (-123.15681085899767, 49.23504379002351), (-123.15681085871293, 49.23504370007137), (-123.15682266938633, 49.23468697725685), (-123.15682266910159, 49.2346868873047), (-123.156634454883, 49.23468402129996))
(-123.15793751099584, 49.234337906109424);((-123.15789175045407, 49.234153406754686), (-123.1578785131978, 49.23452124080293), (-123.15798291600487, 49.23452280717241), (-123.15799683930592, 49.23415497217376), (-123.15789175045407, 49.234153406754686))
(-123.1571350058264, 49.23486988147666);((-123.15708698437231, 49.2347374863063), (-123.15707671776472, 49.23504771058154), (-123.15718113533732, 49.23504925966529), (-123.15718113448108, 49.23504898980884), (-123.15719362991572, 49.23469245492445), (-123.15708852623925, 49.23469089778989), (-123.15708698437231, 49.2347374863063))
(-123.15814682370396, 49.234341345590764);((-123.15810124163164, 49.23415662838935), (-123.15808800593015, 49.23452446245979), (-123.15819240903743, 49.23452611859209), (-123.15819240788842, 49.2345257587835), (-123.15820564396408, 49.23415828451058), (-123.15820564367681, 49.23415819455843), (-123.15810124163164, 49.23415662838935))
(-123.15814682370396, 49.234341345590764);((-123.15810124163164, 49.23415662838935), (-123.15808800593015, 49.23452446245979), (-123.15819240903743, 49.23452611859209), (-123.15819240788842, 49.2345257587835), (-123.15820564396408, 49.23415828451058), (-123.15820564367681, 49.23415819455843), (-123.15810124163164, 49.23415662838935))
(-123.15809023095608, 49.23489282313068);((-123.15829373266054, 49.23506434573984), (-123.15830502017252, 49.23472779084754), (-123.15788670607895, 49.23472134702302), (-123.15787542917617, 49.23505781190681), (-123.15829373266054, 49.23506434573984))
(-123.158909790284, 49.23435930556614);((-123.1588465359814, 49.23418096361641), (-123.15884653684668, 49.23418123347287), (-123.15883599729162, 49.2345356699885), (-123.15883599786845, 49.23453584989279), (-123.158972683468, 49.234537982653876), (-123.15898390802833, 49.234183284320466), (-123.15898390716231, 49.234183014464016), (-123.1588465359814, 49.23418096361641))
(-123.15809023095608, 49.23489282313068);((-123.15829373266054, 49.23506434573984), (-123.15830502017252, 49.23472779084754), (-123.15788670607895, 49.23472134702302), (-123.15787542917617, 49.23505781190681), (-123.15829373266054, 49.23506434573984))
(-123.15932104215536, 49.23436571584623);((-123.15925864990407, 49.234187223611706), (-123.15925865048246, 49.23418740351601), (-123.15924674106354, 49.23454210282061), (-123.15938342675472, 49.2345442530861), (-123.15939533490597, 49.23418946381639), (-123.1593953343271, 49.234189283912094), (-123.15925864990407, 49.234187223611706))
(-123.15864826637277, 49.23491518941984);((-123.15878347055991, 49.235071949278435), (-123.1587938395765, 49.234762723181525), (-123.15851321405792, 49.23475840406154), (-123.1585025408827, 49.23506756758342), (-123.15878347055991, 49.235071949278435))
(-123.15892892002135, 49.23491943261313);((-123.1590637131351, 49.23507623228858), (-123.15907465745424, 49.23476704135495), (-123.1587938395765, 49.234762723181525), (-123.15878347055991, 49.235071949278435), (-123.1590637131351, 49.23507623228858))
(-123.15892892002135, 49.23491943261313);((-123.1590637131351, 49.23507623228858), (-123.15907465745424, 49.23476704135495), (-123.1587938395765, 49.234762723181525), (-123.15878347055991, 49.235071949278435), (-123.1590637131351, 49.23507623228858))
(-123.15928670718534, 49.234901683343914);((-123.15922122203249, 49.23472269073642), (-123.15920795570929, 49.23507845331395), (-123.15935219832492, 49.23508068315442), (-123.15935219774619, 49.235080503250146), (-123.1593654635838, 49.234724911566325), (-123.15922122203249, 49.23472269073642))
(-123.15928670718534, 49.234901683343914);((-123.15922122203249, 49.23472269073642), (-123.15920795570929, 49.23507845331395), (-123.15935219832492, 49.23508068315442), (-123.15935219774619, 49.235080503250146), (-123.1593654635838, 49.234724911566325), (-123.15922122203249, 49.23472269073642))
(-123.15966361449159, 49.23437090179985);((-123.15953270587092, 49.23419143305443), (-123.15953270616058, 49.23419152300656), (-123.15952011216774, 49.2345463132377), (-123.15979417014191, 49.23455052205781), (-123.15980744867385, 49.234195631901606), (-123.15953270587092, 49.23419143305443))
(-123.15956938598883, 49.23490604812241);((-123.1595062845438, 49.234727073972316), (-123.15949230622174, 49.2350829185233), (-123.15963242757758, 49.23508506375112), (-123.1596457799287, 49.234748415920045), (-123.15964640492263, 49.23472922817957), (-123.1595062845438, 49.234727073972316))
(-123.15977847470113, 49.23491592016184);((-123.1596457799287, 49.234748415920045), (-123.15963242757758, 49.23508506375112), (-123.15991333198272, 49.23507729914131), (-123.15991333111161, 49.235077029284916), (-123.1599247356004, 49.23478011615359), (-123.15992578727965, 49.234752715154094), (-123.1596457799287, 49.234748415920045))
(-123.16008454070717, 49.23492763643417);((-123.1599247356004, 49.23478011615359), (-123.15991333111161, 49.235077029284916), (-123.15991333198272, 49.23507729914131), (-123.16024710395916, 49.2350680122897), (-123.16025853848369, 49.23478524861708), (-123.1599247356004, 49.23478011615359))
(-123.16008454070717, 49.23492763643417);((-123.1599247356004, 49.23478011615359), (-123.15991333111161, 49.235077029284916), (-123.15991333198272, 49.23507729914131), (-123.16024710395916, 49.2350680122897), (-123.16025853848369, 49.23478524861708), (-123.1599247356004, 49.23478011615359))
(-123.16045002738556, 49.234374808186914);((-123.16045688378797, 49.234370301065304), (-123.16044314733718, 49.23437032014395), (-123.16044317647065, 49.2343793153581), (-123.16045691292392, 49.23437929627944), (-123.16045688378797, 49.234370301065304))
(-123.16073853549756, 49.234910798622124);((-123.16067601535615, 49.23474506261618), (-123.16067413338918, 49.23479163366374), (-123.1606626593255, 49.23507418154693), (-123.16080140671805, 49.2350762283199), (-123.1608140889698, 49.234747182272876), (-123.16067601535615, 49.23474506261618))
(-123.16072703266488, 49.234387582278316);((-123.16066464770202, 49.234209096189055), (-123.16065310612842, 49.23451739760725), (-123.16065137527876, 49.234563977441375), (-123.16078943444577, 49.23456603418074), (-123.16078943356987, 49.234565764324316), (-123.16080270643525, 49.234211323822784), (-123.16080270614327, 49.23421123387064), (-123.16066464770202, 49.234209096189055))
(-123.1608651038696, 49.23438968928381);((-123.16080270614327, 49.23421123387064), (-123.16080270643525, 49.234211323822784), (-123.16078943356987, 49.234565764324316), (-123.16078943444577, 49.23456603418074), (-123.16092750762334, 49.234568171692885), (-123.16094076462527, 49.234213380382435), (-123.16094076433303, 49.2342132904303), (-123.16080270614327, 49.23421123387064))
(-123.16176912422893, 49.23437944153873);((-123.16205691781612, 49.234229072914076), (-123.16191473805765, 49.23422685255527), (-123.16177254454573, 49.23422462304546), (-123.16163036481194, 49.23422240233663), (-123.16149230627693, 49.23422025664903), (-123.16148139239262, 49.2345299065619), (-123.16204599313437, 49.23453854299114), (-123.16205691781612, 49.234229072914076))
(-123.16176912422893, 49.23437944153873);((-123.16205691781612, 49.234229072914076), (-123.16191473805765, 49.23422685255527), (-123.16177254454573, 49.23422462304546), (-123.16163036481194, 49.23422240233663), (-123.16149230627693, 49.23422025664903), (-123.16148139239262, 49.2345299065619), (-123.16204599313437, 49.23453854299114), (-123.16205691781612, 49.234229072914076))
(-123.16196276563576, 49.23494427007871);((-123.16189848822319, 49.2347649804501), (-123.16188529791619, 49.23512130993372), (-123.16202706808217, 49.235123512913304), (-123.16204021636617, 49.234767246439), (-123.16189848822319, 49.2347649804501))
(-123.16176912422893, 49.23437944153873);((-123.16205691781612, 49.234229072914076), (-123.16191473805765, 49.23422685255527), (-123.16177254454573, 49.23422462304546), (-123.16163036481194, 49.23422240233663), (-123.16149230627693, 49.23422025664903), (-123.16148139239262, 49.2345299065619), (-123.16204599313437, 49.23453854299114), (-123.16205691781612, 49.234229072914076))
(-123.16233584916321, 49.23438832724254);((-123.16205691781612, 49.234229072914076), (-123.16204599313437, 49.23453854299114), (-123.16261470302139, 49.234547701596874), (-123.16262563709121, 49.23423798858016), (-123.16205691781612, 49.234229072914076))
(-123.15404888814786, 49.23385505021767);((-123.15320812098219, 49.233657930917275), (-123.1531948502122, 49.234026133298535), (-123.15319485076854, 49.23402631320288), (-123.15488931863348, 49.23405218189401), (-123.15490326309416, 49.233683807502295), (-123.15320812098219, 49.233657930917275))
(-123.15404888814786, 49.23385505021767);((-123.15320812098219, 49.233657930917275), (-123.1531948502122, 49.234026133298535), (-123.15319485076854, 49.23402631320288), (-123.15488931863348, 49.23405218189401), (-123.15490326309416, 49.233683807502295), (-123.15320812098219, 49.233657930917275))
(-123.15404888814786, 49.23385505021767);((-123.15320812098219, 49.233657930917275), (-123.1531948502122, 49.234026133298535), (-123.15319485076854, 49.23402631320288), (-123.15488931863348, 49.23405218189401), (-123.15490326309416, 49.233683807502295), (-123.15320812098219, 49.233657930917275))
(-123.15404888814786, 49.23385505021767);((-123.15320812098219, 49.233657930917275), (-123.1531948502122, 49.234026133298535), (-123.15319485076854, 49.23402631320288), (-123.15488931863348, 49.23405218189401), (-123.15490326309416, 49.233683807502295), (-123.15320812098219, 49.233657930917275))
(-123.15404888814786, 49.23385505021767);((-123.15320812098219, 49.233657930917275), (-123.1531948502122, 49.234026133298535), (-123.15319485076854, 49.23402631320288), (-123.15488931863348, 49.23405218189401), (-123.15490326309416, 49.233683807502295), (-123.15320812098219, 49.233657930917275))
(-123.15404888814786, 49.23385505021767);((-123.15320812098219, 49.233657930917275), (-123.1531948502122, 49.234026133298535), (-123.15319485076854, 49.23402631320288), (-123.15488931863348, 49.23405218189401), (-123.15490326309416, 49.233683807502295), (-123.15320812098219, 49.233657930917275))
(-123.15595880612749, 49.23858361021473);((-123.1558323390649, 49.23839300249131), (-123.15581774001495, 49.23876984210618), (-123.15581774029793, 49.23876993205827), (-123.15608562531638, 49.23877405006394), (-123.15608562503293, 49.23877396011184), (-123.15609954896155, 49.23839713936541), (-123.1558323390649, 49.23839300249131))
(-123.15582562016407, 49.238033677441464);((-123.15607012866116, 49.2382158349115), (-123.1560831406692, 49.23785915572474), (-123.15558101248693, 49.23785173732497), (-123.15556799548035, 49.23820797569397), (-123.15607012866116, 49.2382158349115))
(-123.15584655732006, 49.23746120953972);((-123.15609604870308, 49.23750877332941), (-123.15609920664305, 49.23742106537971), (-123.15559706916245, 49.23741364706328), (-123.15559391033374, 49.23750135500025), (-123.15609604870308, 49.23750877332941))
(-123.15586084707452, 49.23706047706919);((-123.1561181190557, 49.236888071261376), (-123.15561641282741, 49.23688065244738), (-123.15560336983293, 49.23723283405803), (-123.15610549174413, 49.237240252367734), (-123.1561181190557, 49.236888071261376))
(-123.15586084707452, 49.23706047706919);((-123.1561181190557, 49.236888071261376), (-123.15561641282741, 49.23688065244738), (-123.15560336983293, 49.23723283405803), (-123.15610549174413, 49.237240252367734), (-123.1561181190557, 49.236888071261376))
(-123.15586084707452, 49.23706047706919);((-123.1561181190557, 49.236888071261376), (-123.15561641282741, 49.23688065244738), (-123.15560336983293, 49.23723283405803), (-123.15610549174413, 49.237240252367734), (-123.1561181190557, 49.236888071261376))
(-123.15586084707452, 49.23706047706919);((-123.1561181190557, 49.236888071261376), (-123.15561641282741, 49.23688065244738), (-123.15560336983293, 49.23723283405803), (-123.15610549174413, 49.237240252367734), (-123.1561181190557, 49.236888071261376))
(-123.15586084707452, 49.23706047706919);((-123.1561181190557, 49.236888071261376), (-123.15561641282741, 49.23688065244738), (-123.15560336983293, 49.23723283405803), (-123.15610549174413, 49.237240252367734), (-123.1561181190557, 49.236888071261376))
(-123.15587884046535, 49.23657210513955);((-123.15612797354001, 49.23661505208735), (-123.15613073529181, 49.23653678967208), (-123.15562930736088, 49.23652937053875), (-123.15562639229634, 49.23660718338585), (-123.15612797354001, 49.23661505208735))
(-123.15587470939587, 49.236093551652765);((-123.15610630046972, 49.2360627729483), (-123.15564636425601, 49.236055747577666), (-123.15564608951759, 49.23605574794783), (-123.1556435583501, 49.23612456503301), (-123.15564383308892, 49.23612456466286), (-123.15610390589336, 49.236131140096546), (-123.15610630046972, 49.2360627729483))
(-123.15594737621323, 49.23527743128054);((-123.15621252347452, 49.23547309852461), (-123.15622615063752, 49.235089873326984), (-123.15568230242098, 49.23508174718909), (-123.155668533685, 49.23546497251243), (-123.15621252347452, 49.23547309852461))
(-123.15598345832639, 49.23396467277574);((-123.15623538095615, 49.23423160567917), (-123.15625431346432, 49.23370580741915), (-123.15573162012991, 49.23369751797201), (-123.155712669754, 49.23422376593203), (-123.15623538095615, 49.23423160567917))
(-123.15598345832639, 49.23396467277574);((-123.15623538095615, 49.23423160567917), (-123.15625431346432, 49.23370580741915), (-123.15573162012991, 49.23369751797201), (-123.155712669754, 49.23422376593203), (-123.15623538095615, 49.23423160567917))
(-123.15598345832639, 49.23396467277574);((-123.15623538095615, 49.23423160567917), (-123.15625431346432, 49.23370580741915), (-123.15573162012991, 49.23369751797201), (-123.155712669754, 49.23422376593203), (-123.15623538095615, 49.23423160567917))
(-123.15598345832639, 49.23396467277574);((-123.15623538095615, 49.23423160567917), (-123.15625431346432, 49.23370580741915), (-123.15573162012991, 49.23369751797201), (-123.155712669754, 49.23422376593203), (-123.15623538095615, 49.23423160567917))
(-123.1560604983171, 49.232156631035366);((-123.15633501905685, 49.232092389952015), (-123.15579103709017, 49.232083688817575), (-123.15578598785278, 49.23222087330819), (-123.15632995758915, 49.23222957448326), (-123.15633501905685, 49.232092389952015))
(-123.156053162672, 49.23160478185228);((-123.15629990701086, 49.23155587030395), (-123.15629963229739, 49.231555870675635), (-123.15581061689117, 49.231548444540614), (-123.15581020482102, 49.2315484450964), (-123.15580641509769, 49.23165369473407), (-123.15580682716869, 49.2316536941783), (-123.15629585734898, 49.23166112030958), (-123.15629613206302, 49.231661119937904), (-123.15629990701086, 49.23155587030395))
(-123.156053162672, 49.23160478185228);((-123.15629990701086, 49.23155587030395), (-123.15629963229739, 49.231555870675635), (-123.15581061689117, 49.231548444540614), (-123.15581020482102, 49.2315484450964), (-123.15580641509769, 49.23165369473407), (-123.15580682716869, 49.2316536941783), (-123.15629585734898, 49.23166112030958), (-123.15629613206302, 49.231661119937904), (-123.15629990701086, 49.23155587030395))
(-123.15605689514793, 49.23150245664144);((-123.15630357676864, 49.231456467728556), (-123.15630343941218, 49.231456467914406), (-123.15581387556087, 49.23144904253545), (-123.15581020482102, 49.2315484450964), (-123.15581061689117, 49.231548444540614), (-123.15629963229739, 49.231555870675635), (-123.15629990701086, 49.23155587030395), (-123.15630357676864, 49.231456467728556))
(-123.15606056127459, 49.23140305587696);((-123.15630724651214, 49.23135706515134), (-123.15581754628641, 49.23134963997268), (-123.15581387556087, 49.23144904253545), (-123.15630343941218, 49.231456467914406), (-123.15630357676864, 49.231456467728556), (-123.15630724651214, 49.23135706515134))
(-123.15606056127459, 49.23140305587696);((-123.15630724651214, 49.23135706515134), (-123.15581754628641, 49.23134963997268), (-123.15581387556087, 49.23144904253545), (-123.15630343941218, 49.231456467914406), (-123.15630357676864, 49.231456467728556), (-123.15630724651214, 49.23135706515134))
(-123.15606789347666, 49.23120425164399);((-123.15631458595644, 49.231158259991446), (-123.15631417388956, 49.23115826054903), (-123.15582514867046, 49.231150834489654), (-123.15582487395923, 49.23115083486021), (-123.15582120326214, 49.231250237426615), (-123.15582134061803, 49.23125023724134), (-123.1563103668178, 49.23125766331573), (-123.15631091624144, 49.23125766257231), (-123.15631458595644, 49.231158259991446))
(-123.15607341973568, 49.23105526289247);((-123.15631458595644, 49.231158259991446), (-123.15632177425312, 49.23095945502873), (-123.15583207937016, 49.23095247966826), (-123.15582487395923, 49.23115083486021), (-123.15582514867046, 49.231150834489654), (-123.15631417388956, 49.23115826054903), (-123.15631458595644, 49.231158259991446))
(-123.1561084691008, 49.23037965441251);((-123.15634946355337, 49.230780492843), (-123.15637742314163, 49.22998658726932), (-123.15586764013183, 49.2299786587695), (-123.15583939820714, 49.23077273550889), (-123.15634946355337, 49.230780492843))
(-123.1561084691008, 49.23037965441251);((-123.15634946355337, 49.230780492843), (-123.15637742314163, 49.22998658726932), (-123.15586764013183, 49.2299786587695), (-123.15583939820714, 49.23077273550889), (-123.15634946355337, 49.230780492843))
(-123.1561084691008, 49.23037965441251);((-123.15634946355337, 49.230780492843), (-123.15637742314163, 49.22998658726932), (-123.15586764013183, 49.2299786587695), (-123.15583939820714, 49.23077273550889), (-123.15634946355337, 49.230780492843))
(-123.1561084691008, 49.23037965441251);((-123.15634946355337, 49.230780492843), (-123.15637742314163, 49.22998658726932), (-123.15586764013183, 49.2299786587695), (-123.15583939820714, 49.23077273550889), (-123.15634946355337, 49.230780492843))
(-123.15612837189185, 49.229669670232695);((-123.15638371356631, 49.22954260862406), (-123.15588208171563, 49.22953519987452), (-123.15587301451544, 49.2297965244615), (-123.15637438946166, 49.229804383361824), (-123.15638371356631, 49.22954260862406))
(-123.15613607534551, 49.22944849151828);((-123.15639014778287, 49.22936179514631), (-123.15588877872818, 49.229354386070476), (-123.15588836667628, 49.22935438662652), (-123.15588208171563, 49.22953519987452), (-123.15638371356631, 49.22954260862406), (-123.15639014778287, 49.22936179514631))
(-123.15612981333115, 49.228561424950705);((-123.15581229572007, 49.228230027402844), (-123.1558187636701, 49.22825026549557), (-123.15582500867754, 49.22827057349047), (-123.1558310299872, 49.228290948931686), (-123.1558368268709, 49.22831138935521), (-123.15584239862764, 49.22833189228919), (-123.15584774458361, 49.22835245525419), (-123.15585286409234, 49.22837307576352), (-123.15585775653472, 49.22839375132355), (-123.15586242131909, 49.228414479433965), (-123.15586685788135, 49.22843525758812), (-123.15587106568499, 49.2284560832733), (-123.15587504422115, 49.22847695397106), (-123.15587879300871, 49.228497867157486), (-123.15588231159431, 49.228518820303556), (-123.15588559955248, 49.22853981087538), (-123.15588865648559, 49.22856083633459), (-123.15589148202396, 49.22858189413855), (-123.1558940758259, 49.22860298174074), (-123.15589643757772, 49.22862409659104), (-123.15589856699386, 49.22864523613602), (-123.15590046381678, 49.228666397819254), (-123.15590212781709, 49.22868757908168), (-123.15590355879357, 49.228708777361824), (-123.15590475657318, 49.22872999009618), (-123.15590572101107, 49.22875121471948), (-123.15590645199059, 49.228772448665026), (-123.15590694942337, 49.228793689365006), (-123.15590721324924, 49.22881493425076), (-123.15590724343629, 49.22883618075314), (-123.15590703998089, 49.22885742630281), (-123.15590660290762, 49.22887866833053), (-123.15590593226936, 49.2288999042675), (-123.15590546525908, 49.228912993005274), (-123.15640788783763, 49.22892052651499), (-123.15640821994985, 49.22890825652673), (-123.15640893174692, 49.22888622198484), (-123.15640941704417, 49.22886418129115), (-123.15640967579031, 49.22884213677387), (-123.15640970795803, 49.22882009076161), (-123.15640951354393, 49.22879804558311), (-123.15640909256854, 49.22877600356707), (-123.15640844507632, 49.22875396704181), (-123.15640757113569, 49.2287319383351), (-123.15640647083895, 49.22870991977387), (-123.15640514430233, 49.228687913683984), (-123.15640359166593, 49.228665922389986), (-123.15640181309381, 49.22864394821485), (-123.1563998087738, 49.22862199347976), (-123.15639757891763, 49.22860006050384), (-123.15639512376086, 49.22857815160389), (-123.15639244356281, 49.228556269094206), (-123.15638953860662, 49.228534415286276), (-123.15638640919911, 49.228512592488556), (-123.15638305567089, 49.22849080300623), (-123.15637947837617, 49.22846904914096), (-123.15637567769282, 49.22844733319066), (-123.15637165402234, 49.22842565744921), (-123.15636740778974, 49.22840402420626), (-123.15636293944357, 49.22838243574699), (-123.1563582494558, 49.2283608943518), (-123.15635333832188, 49.22833940229618), (-123.15634820656057, 49.228317961850344), (-123.15634285471393, 49.22829657527911), (-123.15633728334731, 49.228275244841576), (-123.15633149304921, 49.22825397279091), (-123.15632548443126, 49.22823276137412), (-123.15631925812819, 49.22821161283182), (-123.15584530074489, 49.228203914605864), (-123.15581229572007, 49.228230027402844))
(-123.15809023095608, 49.23489282313068);((-123.15829373266054, 49.23506434573984), (-123.15830502017252, 49.23472779084754), (-123.15788670607895, 49.23472134702302), (-123.15787542917617, 49.23505781190681), (-123.15829373266054, 49.23506434573984))
(-123.15755368601533, 49.23487661447266);((-123.15750756781529, 49.23469728054593), (-123.15749506121705, 49.235053914427766), (-123.15749506150304, 49.235054004379904), (-123.15760016593323, 49.2350555521485), (-123.15761198469038, 49.23469883823628), (-123.15750756781529, 49.23469728054593))
(-123.05386089604805, 49.22538387547534);((-123.05318408119473, 49.22491563026356), (-123.05315755335353, 49.2258430631986), (-123.05453840586853, 49.2258504972672), (-123.05456519995627, 49.224926401130695), (-123.05318408119473, 49.22491563026356))
(-123.05386089604805, 49.22538387547534);((-123.05318408119473, 49.22491563026356), (-123.05315755335353, 49.2258430631986), (-123.05453840586853, 49.2258504972672), (-123.05456519995627, 49.224926401130695), (-123.05318408119473, 49.22491563026356))
(-123.05386089604805, 49.22538387547534);((-123.05318408119473, 49.22491563026356), (-123.05315755335353, 49.2258430631986), (-123.05453840586853, 49.2258504972672), (-123.05456519995627, 49.224926401130695), (-123.05318408119473, 49.22491563026356))
(-123.05386089604805, 49.22538387547534);((-123.05318408119473, 49.22491563026356), (-123.05315755335353, 49.2258430631986), (-123.05453840586853, 49.2258504972672), (-123.05456519995627, 49.224926401130695), (-123.05318408119473, 49.22491563026356))
(-123.05386089604805, 49.22538387547534);((-123.05318408119473, 49.22491563026356), (-123.05315755335353, 49.2258430631986), (-123.05453840586853, 49.2258504972672), (-123.05456519995627, 49.224926401130695), (-123.05318408119473, 49.22491563026356))
(-123.05386089604805, 49.22538387547534);((-123.05318408119473, 49.22491563026356), (-123.05315755335353, 49.2258430631986), (-123.05453840586853, 49.2258504972672), (-123.05456519995627, 49.224926401130695), (-123.05318408119473, 49.22491563026356))
(-123.05386089604805, 49.22538387547534);((-123.05318408119473, 49.22491563026356), (-123.05315755335353, 49.2258430631986), (-123.05453840586853, 49.2258504972672), (-123.05456519995627, 49.224926401130695), (-123.05318408119473, 49.22491563026356))
(-123.0776358491997, 49.25139885055113);((-123.07763094423342, 49.25114863552269), (-123.07729373149469, 49.25140090779857), (-123.0776870015962, 49.25162608232485), (-123.07784092121406, 49.251628236524766), (-123.07785336664863, 49.25127604713091), (-123.07763094423342, 49.25114863552269))
(-123.08844068080302, 49.256280202062186);((-123.08840171214663, 49.25620776914606), (-123.08840157488181, 49.25620785920326), (-123.0882794684332, 49.25631363736935), (-123.08864088118402, 49.256319207545026), (-123.08840171214663, 49.25620776914606))
(-123.0887751202055, 49.25584562770521);((-123.08855713688453, 49.25559886280491), (-123.08830551372898, 49.2558300435912), (-123.08894493582008, 49.256127825512216), (-123.08924127005133, 49.25585549167958), (-123.08869453704963, 49.255600916259525), (-123.08855713688453, 49.25559886280491))
(-123.0887751202055, 49.25584562770521);((-123.08855713688453, 49.25559886280491), (-123.08830551372898, 49.2558300435912), (-123.08894493582008, 49.256127825512216), (-123.08924127005133, 49.25585549167958), (-123.08869453704963, 49.255600916259525), (-123.08855713688453, 49.25559886280491))
(-123.0887751202055, 49.25584562770521);((-123.08855713688453, 49.25559886280491), (-123.08830551372898, 49.2558300435912), (-123.08894493582008, 49.256127825512216), (-123.08924127005133, 49.25585549167958), (-123.08869453704963, 49.255600916259525), (-123.08855713688453, 49.25559886280491))
(-123.0887751202055, 49.25584562770521);((-123.08855713688453, 49.25559886280491), (-123.08830551372898, 49.2558300435912), (-123.08894493582008, 49.256127825512216), (-123.08924127005133, 49.25585549167958), (-123.08869453704963, 49.255600916259525), (-123.08855713688453, 49.25559886280491))
(-123.08783099889278, 49.25614603214449);((-123.08789432919778, 49.25597141113557), (-123.08789405482732, 49.25597168120082), (-123.08759771246892, 49.25624400258188), (-123.08759757520254, 49.256244092638134), (-123.08772837517289, 49.25630507091541), (-123.08778540845256, 49.25630592711679), (-123.08806322736348, 49.25605025153384), (-123.08806336462848, 49.25605016147705), (-123.08789432919778, 49.25597141113557))
(-123.08651621406338, 49.25480573012998);((-123.08641036515802, 49.25466020915854), (-123.08620321790225, 49.2548505857984), (-123.08654083639114, 49.255008019586754), (-123.08683351873835, 49.254733976526424), (-123.08668483087331, 49.25466464508903), (-123.08641036515802, 49.25466020915854))
(-123.0861409290073, 49.25536013939445);((-123.0862042937238, 49.25518428062179), (-123.0859087580385, 49.25545686696186), (-123.08590848366003, 49.25545713702242), (-123.08607778919733, 49.25553598902155), (-123.08607792646453, 49.25553589896711), (-123.08637332363833, 49.25526295249279), (-123.0862042937238, 49.25518428062179))
(-123.08612568037341, 49.25471869272837);((-123.08641036515802, 49.25466020915854), (-123.08577287710416, 49.254649916908335), (-123.08620321790225, 49.2548505857984), (-123.08641036515802, 49.25466020915854))
(-123.08612568037341, 49.25471869272837);((-123.08641036515802, 49.25466020915854), (-123.08577287710416, 49.254649916908335), (-123.08620321790225, 49.2548505857984), (-123.08641036515802, 49.25466020915854))
(-123.08534121815957, 49.25427727134776);((-123.08547887262236, 49.254463816823744), (-123.08549134148242, 49.254108514407704), (-123.0853789787887, 49.25405593048354), (-123.08508450278661, 49.254328145182), (-123.08537176427423, 49.254462330850224), (-123.08547887262236, 49.254463816823744))
(-123.08534121815957, 49.25427727134776);((-123.08547887262236, 49.254463816823744), (-123.08549134148242, 49.254108514407704), (-123.0853789787887, 49.25405593048354), (-123.08508450278661, 49.254328145182), (-123.08537176427423, 49.254462330850224), (-123.08547887262236, 49.254463816823744))
(-123.08517554339605, 49.25416576112902);((-123.08526663007555, 49.25400334643932), (-123.08525210046174, 49.254016769034806), (-123.0849720714392, 49.2542756328764), (-123.08508450278661, 49.254328145182), (-123.0853789787887, 49.25405593048354), (-123.08526663007555, 49.25400334643932))
(-123.08344968229343, 49.25416371484766);((-123.0835484954428, 49.25394302039848), (-123.08325021498015, 49.254213883893435), (-123.08350645876135, 49.25433399204279), (-123.08354582282502, 49.254297335050076), (-123.0835589475012, 49.25394787025858), (-123.0835484954428, 49.25394302039848))
(-123.08344968229343, 49.25416371484766);((-123.0835484954428, 49.25394302039848), (-123.08325021498015, 49.254213883893435), (-123.08350645876135, 49.25433399204279), (-123.08354582282502, 49.254297335050076), (-123.0835589475012, 49.25394787025858), (-123.0835484954428, 49.25394302039848))
(-123.08348112958363, 49.25344014897876);((-123.08358520952007, 49.253216072059274), (-123.08328778725917, 49.25348790654931), (-123.08353771490904, 49.2536050777597), (-123.08357269607079, 49.25359363752599), (-123.08358575962923, 49.25321633252272), (-123.08358520952007, 49.253216072059274))
(-123.08348112958363, 49.25344014897876);((-123.08358520952007, 49.253216072059274), (-123.08328778725917, 49.25348790654931), (-123.08353771490904, 49.2536050777597), (-123.08357269607079, 49.25359363752599), (-123.08358575962923, 49.25321633252272), (-123.08358520952007, 49.253216072059274))
(-123.08306082894396, 49.25391956254603);((-123.0830966895154, 49.25373105004025), (-123.08279909571912, 49.254002370642645), (-123.08291201950125, 49.25405527150588), (-123.08302465479247, 49.25410808251342), (-123.08332266054607, 49.25383694094221), (-123.08320961299589, 49.25378395061527), (-123.0830966895154, 49.25373105004025))
(-123.08277881043288, 49.25378740658114);((-123.08287099427274, 49.25362514950151), (-123.08257367517797, 49.25389674818296), (-123.08268658473646, 49.25394964927757), (-123.08298391743648, 49.253678149245665), (-123.08287099427274, 49.25362514950151))
(-123.08266876574108, 49.25299436054087);((-123.0827428269384, 49.25282114953228), (-123.08244541614596, 49.253092972868615), (-123.08260308811616, 49.2531669089093), (-123.08289026664076, 49.25289027107321), (-123.0827428269384, 49.25282114953228))
(-123.08215950878001, 49.25347617054148);((-123.08253279029005, 49.25346653599469), (-123.08192571446081, 49.25318172061022), (-123.08191198289607, 49.253586506298774), (-123.08223615796618, 49.25373848413787), (-123.08253279029005, 49.25346653599469))
(-123.08266876574108, 49.25299436054087);((-123.0827428269384, 49.25282114953228), (-123.08244541614596, 49.253092972868615), (-123.08260308811616, 49.2531669089093), (-123.08289026664076, 49.25289027107321), (-123.0827428269384, 49.25282114953228))
