point;polygon
(-123.12365339959302, 49.28486355788119);((-123.12355486054715, 49.28454711955035), (-123.12316840694852, 49.28480210453065), (-123.12375237487221, 49.2851801774034), (-123.12413811225144, 49.28492474149761), (-123.12355486054715, 49.28454711955035))
(-123.12365339959302, 49.28486355788119);((-123.12355486054715, 49.28454711955035), (-123.12316840694852, 49.28480210453065), (-123.12375237487221, 49.2851801774034), (-123.12413811225144, 49.28492474149761), (-123.12355486054715, 49.28454711955035))
(-123.12415055654643, 49.285945646915266);((-123.12493306237067, 49.28619967007506), (-123.12375368910759, 49.2854360886634), (-123.12336793200545, 49.285691523282615), (-123.12454758089055, 49.28645528820387), (-123.12493306237067, 49.28619967007506))
(-123.12415055654643, 49.285945646915266);((-123.12493306237067, 49.28619967007506), (-123.12375368910759, 49.2854360886634), (-123.12336793200545, 49.285691523282615), (-123.12454758089055, 49.28645528820387), (-123.12493306237067, 49.28619967007506))
(-123.12566603139663, 49.2861674281454);((-123.12541678707038, 49.285753318374745), (-123.12503038992365, 49.28600880420191), (-123.12591517539121, 49.28658153751627), (-123.1263017098478, 49.28632601262515), (-123.12541678707038, 49.285753318374745))
(-123.12566603139663, 49.2861674281454);((-123.12541678707038, 49.285753318374745), (-123.12503038992365, 49.28600880420191), (-123.12591517539121, 49.28658153751627), (-123.1263017098478, 49.28632601262515), (-123.12541678707038, 49.285753318374745))
(-123.12566603139663, 49.2861674281454);((-123.12541678707038, 49.285753318374745), (-123.12503038992365, 49.28600880420191), (-123.12591517539121, 49.28658153751627), (-123.1263017098478, 49.28632601262515), (-123.12541678707038, 49.285753318374745))
(-123.12109960347968, 49.283722244499856);((-123.12148670842043, 49.283432039727636), (-123.12112932606274, 49.28320078913157), (-123.12031949925019, 49.2837365153263), (-123.12109416226666, 49.28423761887574), (-123.12187255221151, 49.28372270830898), (-123.12145527173196, 49.28345285163011), (-123.12148670842043, 49.283432039727636))
(-123.12276046799236, 49.283779718011964);((-123.12305354150975, 49.283843170413874), (-123.1226604504039, 49.28358854814635), (-123.12246739804712, 49.283716295503226), (-123.12286048908747, 49.2839708824412), (-123.12305354150975, 49.283843170413874))
(-123.12326611735683, 49.28537273235532);((-123.12336117308801, 49.285181504210456), (-123.12297485191664, 49.28543683918401), (-123.12317097848614, 49.285564001939), (-123.12355743689477, 49.285308567221755), (-123.12336117308801, 49.285181504210456))
(-123.12433088686535, 49.28467050870922);((-123.1244256702596, 49.28447923408148), (-123.12403957994299, 49.28473451842925), (-123.12423607797014, 49.28486177794017), (-123.12462219585498, 49.28460652889245), (-123.1244256702596, 49.28447923408148))
(-123.12443709105067, 49.28537197473215);((-123.1243352609569, 49.285053349412905), (-123.12394902855053, 49.28530877750693), (-123.12453886197534, 49.28569060906046), (-123.12492517674568, 49.28543515193734), (-123.1243352609569, 49.285053349412905))
