OID_, id,area,address,unit,civic_number,street,address_above_door,business_name,retailgroup,floor_area_sf,year_recorded
183,211,4th and MacDonald,2938 W 4TH AV,N/A,2938,W 4TH AV,2938 W 4TH AV,E-Nic Ebike,Comparison Goods,1400,2022
187,215,4th and MacDonald,2948 W 4TH AV,N/A,2948,W 4TH AV,2948 W 4TH AV,Vacant,Vacant,1413,2022
189,217,4th and MacDonald,2951 W 4TH AV,1,2951,W 4TH AV,2951 W 4TH AV,Pintor Barber,Service Commercial,598,2022
190,218,4th and MacDonald,2951 W 4TH AV,2,2951,W 4TH AV,2951 W 4TH AV,Vacant ,Vacant,598,2022
192,220,4th and MacDonald,2953 W 4TH AV,1,2953,W 4TH AV,2953 W 4TH AV,Nishi Sushi,Food & Beverage,598,2022
193,221,4th and MacDonald,2953 W 4TH AV,2,2953,W 4TH AV,2953 W 4TH AV,Bangkok City Café,Food & Beverage,598,2022
194,222,4th and MacDonald,2954 W 4TH AV,N/A,2954,W 4TH AV,2954 W 4TH AV,Unit 17 Art Gallery,Comparison Goods,700,2022
195,223,4th and MacDonald,2955 W 4TH AV,N/A,2955,W 4TH AV,2955 W 4TH AV,Great West Coin Laundry,Service Commercial,2720,2022
197,225,4th and MacDonald,2959 W 4TH AV,N/A,2959,W 4TH AV,2959 W 4TH AV,Artistry Coffee,Food & Beverage,1520,2022
210,238,57th & East Boulevard,1888 W 57TH AV,N/A,1888,W 57TH AV,1888 W 57TH AV,Choices,Convenience Goods,5700,2022
211,239,Broadway Corridor - Arbutus Area,2525 ARBUTUS ST,N/A,2525,ARBUTUS ST,2525 ARBUTUS ST,Bex Spa,Service Commercial,2000,2022
212,240,Broadway Corridor - Arbutus Area,2555 ARBUTUS ST,N/A,2555,ARBUTUS ST,2555 ARBUTUS ST,Cloverdale Paint,Comparison Goods,6016,2022
214,242,Broadway Corridor - Arbutus Area,2564 ARBUTUS ST,N/A,2564,ARBUTUS ST,2564 ARBUTUS ST,Slick & Co.,Service Commercial,1066,2022
219,247,Broadway Corridor - Arbutus Area,2636 ARBUTUS ST,N/A,2636,ARBUTUS ST,2636 ARBUTUS ST,Vacant,Vacant,1000,2022
221,249,Broadway Corridor - Arbutus Area,2652 ARBUTUS ST,N/A,2652,ARBUTUS ST,2652 ARBUTUS ST,Rush Salon,Service Commercial,1080,2022
223,251,Broadway Corridor - Arbutus Area,2665 ARBUTUS ST,N/A,2665,ARBUTUS ST,2665 ARBUTUS ST,Spring Breeze Hair Salon,Service Commercial,1080,2022
224,252,Broadway Corridor - Arbutus Area,2668 ARBUTUS ST,N/A,2668,ARBUTUS ST,2668 ARBUTUS ST,Plaisir Sucre,Convenience Goods,1080,2022
225,253,Broadway Corridor - Arbutus Area,2675 ARBUTUS ST,N/A,2675,ARBUTUS ST,2675 ARBUTUS ST,Kariba,Service Commercial,3240,2022
226,254,Broadway Corridor - Arbutus Area,2685 ARBUTUS ST,N/A,2685,ARBUTUS ST,2685 ARBUTUS ST,Vacant,Vacant,3000,2022
227,255,Broadway Corridor - Arbutus Area,2688 ARBUTUS ST,N/A,2688,ARBUTUS ST,2688 ARBUTUS ST,True Health Studio,Service Commercial,1288,2022
228,256,Broadway Corridor - Arbutus Area,2696 ARBUTUS ST,N/A,2696,ARBUTUS ST,2696 ARBUTUS ST,Arbutus Point Dental,Service Commercial,1288,2022
229,257,Broadway Corridor - Arbutus Area,2705 ARBUTUS ST,N/A,2705,ARBUTUS ST,2715 ARBUTUS ST,Finolino,Comparison Goods,3000,2022
232,260,Broadway Corridor - Arbutus Area,2738 ARBUTUS ST,N/A,2738,ARBUTUS ST,2738 ARBUTUS ST,Tysol,Comparison Goods,7000,2022
233,261,Broadway Corridor - Arbutus Area,2771 ARBUTUS ST,N/A,2771,ARBUTUS ST,2771 ARBUTUS ST,Halo Salon,Service Commercial,2000,2022
234,262,Broadway Corridor - Arbutus Area,2779 ARBUTUS ST,N/A,2779,ARBUTUS ST,2779 ARBUTUS ST,Edible Arrangements,Convenience Goods,1320,2022
235,263,Broadway Corridor - Arbutus Area,2783 ARBUTUS ST,N/A,2783,ARBUTUS ST,2783 ARBUTUS ST,Edward Jones,Service Commercial,968,2022
236,264,Broadway Corridor - Arbutus Area,2790 ARBUTUS ST,N/A,2790,ARBUTUS ST,2790 ARBUTUS ST,Kal Tire,Automotive Goods & Services,2000,2022
237,265,Broadway Corridor - Arbutus Area,2797 ARBUTUS ST,N/A,2797,ARBUTUS ST,2797 ARBUTUS ST,Little Attic's Neverland,Comparison Goods,968,2022
238,266,Broadway Corridor - Arbutus Area,2793 ARBUTUS ST,N/A,2793,ARBUTUS ST,2793 ARBUTUS ST,The Bloomiere,Convenience Goods,968,2022
239,267,Broadway Corridor - Arbutus Area,2817 ARBUTUS ST,N/A,2817,ARBUTUS ST,2817 ARBUTUS ST,Pete's Meat,Convenience Goods,3000,2022
240,268,Broadway Corridor - Arbutus Area,2827 ARBUTUS ST,N/A,2827,ARBUTUS ST,2827 ARBUTUS ST,Bullock's The Eye Opener,Comparison Goods,2000,2022
241,269,Broadway Corridor - Arbutus Area,2850 ARBUTUS ST,N/A,2850,ARBUTUS ST,2850 ARBUTUS ST,Mr. Lube,Automotive Goods & Services,2000,2022
242,270,Broadway Corridor - Arbutus Area,2888 ARBUTUS ST,N/A,2888,ARBUTUS ST,2880 ARBUTUS ST,Vacant,Vacant,3000,2022
243,271,Broadway Corridor - Arbutus Area,2480 VINE ST,N/A,2480,VINE ST,2480 VINE ST,Hearts & Vine,Food & Beverage,1368,2022
246,274,Broadway Corridor - Arbutus Area,2106 W BROADWAY,N/A,2106,W BROADWAY,2106 W BROADWAY,Vacant,Vacant,7316,2022
247,275,Broadway Corridor - Arbutus Area,2112 W BROADWAY,N/A,2112,W BROADWAY,2112 W BROADWAY,GYO Para Ramon,Food & Beverage,2000,2022
248,276,Broadway Corridor - Arbutus Area,2126 W BROADWAY,N/A,2126,W BROADWAY,2126 W BROADWAY,Z & W Shanghai Kitchen,Food & Beverage,3540,2022
250,278,Broadway Corridor - Arbutus Area,2146 W BROADWAY,N/A,2146,W BROADWAY,2146 W BROADWAY,Body Energy Club,Convenience Goods,4248,2022
251,280,Broadway Corridor - Arbutus Area,2154 W BROADWAY,N/A,2154,W BROADWAY,2154 W BROADWAY,Vacant,Vacant,850,2022
252,281,Broadway Corridor - Arbutus Area,2156 W BROADWAY,1,2156,W BROADWAY,2156 W BROADWAY,Steamoji ,Service Commercial,2400,2022
253,282,Broadway Corridor - Arbutus Area,2156 W BROADWAY,2,2156,W BROADWAY,2156 W BROADWAY,Tekami Sushi,Food & Beverage,2400,2022
254,283,Broadway Corridor - Arbutus Area,2160 W BROADWAY,N/A,2160,W BROADWAY,2160 W BROADWAY,Jenny Craig,Service Commercial,1200,2022
